"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""00 Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""""";
"=""Выберите информационные системы""";"=""""";
"=""Выберите сервисы""";"=""""";
"=""Выберите период формирования отчета с""";"=""07.02.2014""";
"=""по""";"=""10.02.2014""";
"=""Время генерации отчета""";"=""14.07.2014 13:17:45""";

"=""Сводные показатели""";

"=""Ведомство""";"=""Сервис""";"=""Кол-во отключений сервиса за период""";"=""Общее время недоступности за период""";"=""Самый продолжительный интервал недоступности""";"=""Среднее время недоступности""";"=""Общее время недоступности, без учета кратковременных прерываний""";
"=""Министерство информационных технологий, связи и средств массовой информации Нижегородской области""";"(00-SID0003700) - Сервис передачи сведений о «заключении органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства»";"=""18""";"=""00:34:14""";"=""00:03:52""";"=""00:01:54""";"=""00:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003181) - Сервис предоставления сведений из договоров с уполномоченными органами военного управления (счет-наряд или акт приема-передачи объекта основных средств по форме ОС-1)""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003182) - Сервис предоставления информации об отношении заявителя к воинской службе""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003183) - Сервис предоставления информации об отсутствии у гражданина оснований для выезда из Российской Федерации""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003295) - Сервис предоставления информации о разрешении на строительство""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003296) - Сервис предоставления информации о разрешении на ввод объекта в эксплуатацию""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003430) - Cведения об исключении государственного воздушного судна из государственного учета""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"=""(00-SID0003431) - Cведения о наличии и номере военного представительства заказчика""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство обороны РФ""";"(00-SID0003559) - Сведения о получении, погашении или не получении ГЖС для приобретения жилой площади по федеральной Программе ""Государственные жилищные сертификаты""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство труда и занятости населения Волгоградской области""";"=""(00-SID0003155) - Электронный сервис предоставления сведений о выплате пособия по безработице""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство труда и социальной защиты Российской Федерации""";"=""(00-SID0003857) - Электронный сервис подачи заявлений на проведение медико-социальной экспертизы и обжалование ранее вынесенных решений""";"=""2""";"=""00:14:16""";"=""00:04:46""";"=""00:07:08""";"=""00:00:00""";
"=""Минкомсвязь""";"(00-SID0003001) - Сервис проверки взаимодействия СМЭВ создан для облегчения работы разработки программного обеспечения, формирующее сообщение, а также дружественной формы сообщения об ошибках в случае несоответствия формата методическим рекомендациям. Все методы проверяют электронную подпись формата XMLDSig.";"=""2""";"=""00:01:12""";"=""00:00:38""";"=""00:00:36""";"=""00:00:00""";
"=""Минкомсвязь""";"(00-SID0003002) - Сервис проверки взаимодействия СМЭВ создан для облегчения работы разработки программного обеспечения, формирующее сообщение, а также дружественной формы сообщения об ошибках в случае несоответствия формата методическим рекомендациям. Все методы проверяют электронную подпись формата XMLDSig.";"=""1""";"=""95:59:08""";"=""70:55:37""";"=""95:59:08""";"=""95:59:08""";
"=""Минкомсвязь""";"=""(00-SID0003009) - Сервис статуса заявки для ПГУ (АРМАДА)""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003031) - Статусы ПГУ дополнительный""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003043) - Получение ID заявки в системе ПГУ""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003046) - веб-сервиса обработки статусов электронного заявления на портале государственных услуг""";"=""2""";"=""00:03:02""";"=""00:01:37""";"=""00:01:31""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003057) - Синхронизация статичных данных ПГУ""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003095) - ИПШ обновления статуса платежа Киви продуктив.""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003097) - Проверка подлинности сертификата (МКС)""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003101) - Единый личный кабинет. Заказ услуг""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003124) - Сервис массовой загрузки государственных органов в Федеральный узел системы реестров.""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003136) - Электронный сервис передачи заявления на получение выписки из ЕГР, РФОГВ в ИС МКС""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003318) - Сервис проверки электронной подписи""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003366) - Обработка статусов электронного заявления на едином портале государственных услуг""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003377) - Обработка статусов электронного заявления на едином портале государственных услуг""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003529) - Электронный сервис отправки сообщений для пользователей государственной электронной почтовой системы""";"=""10""";"=""00:30:58""";"=""00:04:00""";"=""00:03:05""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003548) - Сервис рассылок""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Минкомсвязь""";"=""(00-SID0003632) - Сервис предоставления Единичных сведений об актах гражданского состояния, необходимых для оказания государственных услуг, требующих межведомственного взаимодействия""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
